"nox"	"air_temp"
"718"	57.50592	2.5
"719"	22.37572	2.5
"720"	25.03865	2.5
"721"	47.1892	2.5
"722"	22.84426	2.5
"723"	97.29884	2.5
"724"	30.67594	2.5
"725"	2.4113	2.5
"726"	43.57938	2.5
"727"	37.67031	2.5
"728"	13.39	2.5
"729"	22.32225	2.6
"730"	12.88384	2.6
"731"	25.2151	2.6
"732"	16.60117	2.6
"733"	15.92799	2.6
"734"	10.05615	2.6
"735"	10.88202	2.6
"736"	10.06019	2.6
"737"	10.86383	2.6
"738"	47.021	2.6
"739"	23.68576	2.6
"740"	12.96381	2.6
"741"	12.8176	2.6
"742"	6.95856	2.6
"743"	57.89806	2.6
"744"	42.30457	2.6
"745"	1.92793	2.6
"746"	21.99436	2.6
"747"	17.20847	2.6
"748"	38.8608	2.6
"749"	10.54705	2.6
"750"	13.10493	2.6
"751"	11.54296	2.6
"752"	14.64057	2.6
"753"	20.38308	2.6
"754"	16.67036	2.6
"755"	36.16872	2.6
"756"	4.68095	2.6
"757"	2.29571	2.6
"758"	6.53779	2.6
"759"	10.45911	2.6
"760"	49.62906	2.6
"761"	96.60913	2.6
"762"	27.16354	2.6
"763"	5.9138	2.6
"764"	21.70801	2.6
"765"	10.82466	2.6
"766"	11.90885	2.6
"767"	20.88477	2.6
"768"	39.83892	2.6
"769"	18.14583	2.7
"770"	11.82621	2.7
"771"	7.45148	2.7
"772"	29.0721	2.7
"773"	10.75456	2.7
"774"	11.89162	2.7
"775"	9.50355	2.7
"776"	12.44701	2.7
"777"	2.24925	2.7
"778"	3.80766	2.7
"779"	12.53153	2.7
"780"	16.96749	2.7
"781"	46.71444	2.7
"782"	9.84281	2.7
"783"	9.58303	2.7
"784"	8.14373	2.7
"785"	12.90419	2.7
"786"	32.52192	2.7
"787"	21.16604	2.7
"788"	28.17307	2.7
"789"	14.95847	2.7
"790"	14.92764	2.7
"791"	15.68073	2.7
"792"	44.9351	2.7
"793"	21.76578	2.7
"794"	36.3055	2.7
"795"	8.69786	2.7
"796"	34.41211	2.7
"797"	4.67428	2.7
"798"	21.91916	2.7
"799"	20.83551	2.7
"800"	4.33363	2.7
"801"	1.70707	2.7
"802"	27.56765	2.7
"803"	39.11697	2.7
"804"	7.58476	2.8
"805"	17.8578	2.8
"806"	14.66258	2.8
"807"	4.18244	2.8
"808"	5.28814	2.8
"809"	14.27969	2.8
"810"	25.94949	2.8
"811"	21.97744	2.8
"812"	10.92383	2.8
"813"	12.44806	2.8
"814"	22.32637	2.8
"815"	3.69108	2.8
"816"	11.26416	2.8
"817"	23.38896	2.8
"818"	27.35155	2.8
"819"	108.86223	2.8
"820"	105.88438	2.8
"821"	22.97094	2.8
"822"	21.17751	2.8
"823"	66.9784	2.8
"824"	33.03563	2.8
"825"	5.36313	2.8
"826"	14.57993	2.8
"827"	21.91916	2.8
"828"	6.64819	2.8
"829"	39.67484	2.8
"830"	18.57787	2.9
"831"	4.47089	2.9
"832"	21.80888	2.9
"833"	17.16363	2.9
"834"	10.82474	2.9
"835"	61.79326	2.9
"836"	6.89842	2.9
"837"	5.58675	2.9
"838"	6.80126	2.9
"839"	9.39599	2.9
